"title","times_rented","total_amount"
"Mystic Truman","8","17.92"
"Runner Madigan","8","14.92"
"Legend Jedi","8","12.92"
"Ace Goldfinger","7","52.93"
"Panic Club","7","51.93"
"Sense Greek","7","47.93"
"Casper Dragonfly","7","45.93"
"Crusade Honey","7","44.93"
"Punk Divorce","7","41.93"
"Eve Resurrection","7","40.93"
"Clue Grail","7","40.93"
"Baby Hall","7","40.93"
"Fire Wolves","7","39.93"
"Intolerable Intentions","7","39.93"
"Records Zorro","7","38.93"
"Soldiers Evolution","7","36.93"
"Elizabeth Shane","7","36.93"
"Bulworth Commandments","7","32.93"
"Blood Argonauts","7","30.93"
"Untouchables Sunrise","7","28.93"
"Luke Mummy","7","28.93"
"Cowboy Doom","7","28.93"
"Squad Fish","7","27.93"
"Papi Necklace","7","27.93"
"Antitrust Tomatoes","7","27.93"
"Bang Kwai","7","22.93"
"Newsies Story","7","22.93"
"Luck Opus","7","21.93"
"Mulholland Beast","7","21.93"
"Magic Mallrats","7","17.93"
"Vanished Garden","7","14.94"
"Soup Wisdom","7","11.93"
"Runaway Tenenbaums","7","11.93"
"Sunset Racer","7","11.93"
"Zhivago Core","7","10.93"
"Maude Mod","7","10.93"
"Ballroom Mockingbird","7","9.93"
"Harold French","7","8.93"
"Ghostbusters Elf","7","8.93"
"Lights Deer","7","7.93"
"Rebel Airport","7","6.93"
"Young Language","7","6.93"
"Park Citizen","6","48.94"
"Clerks Angels","6","45.94"
"Ishtar Rocketeer","6","42.94"
"Terminator Club","6","39.94"
"Jersey Sassy","6","39.94"
"Italian African","6","38.94"
"Graceland Dynamite","6","37.94"
"Early Home","6","36.94"
"Frontier Cabin","6","35.94"
"President Bang","6","35.94"
"Bubble Grosse","6","35.94"
"School Jacket","6","35.94"
"Elf Murder","6","34.94"
"Heavenly Gun","6","32.94"
"Tequila Past","6","32.94"
"Dozen Lion","6","31.94"
"Haunted Antitrust","6","31.94"
"Control Anthem","6","31.94"
"Desperate Trainspotting","6","31.94"
"Pizza Jumanji","6","25.94"
"Bed Highball","6","24.94"
"Cassidy Wyoming","6","23.94"
"Happiness United","6","22.94"
"Lesson Cleopatra","6","22.94"
"Extraordinary Conquerer","6","22.94"
"Leathernecks Dwarfs","6","21.94"
"Phantom Glory","6","21.94"
"Warlock Werewolf","6","21.94"
"Killer Innocent","6","21.94"
"Menagerie Rushmore","6","18.94"
"Simon North","6","18.94"
"Rushmore Mermaid","6","18.94"
"Ladybugs Armageddon","6","17.94"
"License Weekend","6","17.94"
"Youth Kick","6","16.94"
"Wild Apollo","6","15.94"
"Sling Luke","6","14.94"
"Dumbo Lust","6","13.94"
"Watership Frontier","6","13.94"
"Hawk Chill","6","12.94"
"Vision Torque","6","11.94"
"Comancheros Enemy","6","9.94"
"Stallion Sundance","6","7.94"
"Japanese Run","6","7.94"
"Treatment Jekyll","6","6.94"
"Cruelty Unforgiven","6","6.94"
"Oklahoma Jumanji","6","5.94"
"Texas Watch","6","5.94"
"Duffel Apocalypse","6","5.94"
"Fever Empire","5","33.95"
"Seven Swarm","5","30.95"
"Informer Double","5","27.95"
"Private Drop","5","26.95"
"Bunch Minds","5","25.95"
"Apocalypse Flamingos","5","24.95"
"Hunter Alter","5","24.95"
"Traffic Hobbit","5","24.95"
"Doctor Grail","5","23.95"
"Mannequin Worst","5","23.95"
"Divorce Shining","5","21.95"
"Duck Racer","5","20.95"
"Conspiracy Spirit","5","16.95"
"Full Flatliners","5","16.95"
"Braveheart Human","5","16.95"
"Mussolini Spoilers","5","15.95"
"Glory Tracy","5","14.95"
"Connection Microcosmos","5","8.95"
"Freedom Cleopatra","5","5.95"
"Train Bunch","4","24.96"
"Hardly Robbers","4","15.96"
"Mixed Doors","4","15.96"
"Order Betrayed","0",NULL
"Alice Fantasia","0",NULL
"Deliverance Mulholland","0",NULL
"Butch Panther","0",NULL
"Firehouse Vietnam","0",NULL
"Boondock Ballroom","0",NULL
"Ark Ridgemont","0",NULL
"Rainbow Shock","0",NULL
"Hocus Frida","0",NULL
"Gladiator Westward","0",NULL
"Perdition Fargo","0",NULL
"Villain Desperate","0",NULL
"Muppet Mile","0",NULL
"Suicides Silence","0",NULL
"Tadpole Park","0",NULL
"Kill Brotherhood","0",NULL
"Volume House","0",NULL
"Gump Date","0",NULL
"Kentuckian Giant","0",NULL
"Frankenstein Stranger","0",NULL
"Psycho Shrunk","0",NULL
"Crossing Divorce","0",NULL
"Chinatown Gladiator","0",NULL
"Pearl Destiny","0",NULL
"Dazed Punk","0",NULL
"Floats Garden","0",NULL
"Catch Amistad","0",NULL
"Roof Champion","0",NULL
"Commandments Express","0",NULL
"Apollo Teen","0",NULL
"Wake Jaws","0",NULL
"Sister Freddy","0",NULL
"Arsenic Independence","0",NULL
"Hate Handicap","0",NULL
"Chocolate Duck","0",NULL
"Treasure Command","0",NULL
"Walls Artist","0",NULL
"Sky Miracle","0",NULL
"Crowds Telemark","0",NULL
"Crystal Breaking","0",NULL
"Raiders Antitrust","0",NULL
"Argonauts Town","0",NULL
